Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Tata Consultancy Services,Human Resources ,"Bengaluru, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3831589535/?eBP=CwEAAAGN_rYeB1fzOJr_36gzMlnzBYz3IemrZvpPFFdBzoxVo1xUpY5ZvNAF0soK6pYBdkKW11_3xGZyptVTUptUM-tL7mDsnWWjV3Jfn3M5SlHVbIfi17jvoNtTmwk_WTLuRp94Kw8tS1utAtcp2A_pe72c29eIXP9RvSczABR2CZgZ-84ba8A-bNKj740_mZtDnLFRoWE_KncR7d8eqpqbaOWwJFyBHR65QKRBt2BVIHvNa9SvioGIUidxts-8UkZWNkZFeUSMS3fNdXpsAaGj4nFZYmP7G2eJ48DeSnQ6lT4VPjp8zr5WMFAb16B5_azVLlZ7M5i3lP-mydHvWJAKvVXqTzbdQffqr87CTvUR3Ua4s062g6M0F3y2Ax7R4gNkvqPOSWW4eRFV7nj0NzeZNEXb8Sj8a74&refId=bss50WprW98BWZ8Eevqn1Q%3D%3D&trackingId=zIAiexVmPFAKJEF7Ax5YEw%3D%3D&trk=flagship3_search_srp_jobs
SoftwareOne India,Advocate,"Mumbai, Maharashtra, India (On-site)",,https://www.linkedin.com/jobs/view/3830238641/?eBP=CwEAAAGN_rZuHqvktXy0iPGsbjzobCPKJ2ReJ-EeRnOXIoGPtvZ6hjbYhOCkX6W3mJc357WU0sTzP6KXrS_o_2q6sczv8INT2JLR2i-ZwMqZByY-fiiMq4V7T3IaMfG5_g_PnsPNuhs3z1eQ1kJbPMPJ0yJLYaPd8YYpUeD0ecRluoMo1UF_5dYxi_krwhyPU-G09go3VCbRvQksWYT1GeCBB5IIMzEw2MJiWQmelNq4yzd1mlQIuElaUNyojSJRgJyITCro4Teot9ecvnHBOEsJ73G83z9zIzTNPJcDx5yb3Ek7JOg1FYFUPbX7Gfqh3Yfe4_eCHudTkzNN4av4fPY_iaowp91stsenyTrFlEBirgd4nuwfkD9NVDNZuQuxcIlOG3Va05aS09kKT_XWQlc9yA8-Gqw1&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=WyhqrwmSPpJaLey1M3HnfQ%3D%3D&trk=flagship3_search_srp_jobs
TheGreats Wind Park Private Limited,Advocate,"Basavakalyan, Karnataka, India (On-site)",,https://www.linkedin.com/jobs/view/3837550891/?eBP=CwEAAAGN_rZuHpHRmMkU4hCWIK0toUY10i7ePsN75FfEHeZhYO9s0xD6Ulb9VgeTKsDqyRvS60fSJJ07IccgNTW38i-bGwzjtLzYWJwOxKIV9Dv5jqS3vIXvYK4B1jUc9tNkZ8vuFBPMXenGoGcd0CHUo4XCiIj6BcfgxTgvfnx4YuFxosEWF16EBbLCexqdIL1byJv0aTgeluTiVt1gD5KC6ag4cKqPYJ5gcttKtFkiGCOn_9A08PgvK2yaFWNaMCIN9xtyUXWsBGfIY4XNuRwQWDonPQx5wYQp3oQoRM9NsL-2457O0qabs7tKvAZ75IT2okek0E47vBajcwyh0P3AMpHu4IOEV9T9fdr1aXSHiypE9wzGgLO0YpcP8pkJUxVEtQtcreBwlX80i27-Kv8bZjFEFRCcINLzRV8CnFNxxfWk6wouSdreUM8&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=aOp0aFvL5C6Qp90u6UlsKA%3D%3D&trk=flagship3_search_srp_jobs
Evernorth Health Services,Advocate,"Hyderabad, Telangana, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3823629178/?eBP=CwEAAAGN_rZuHmHIhCInXZ63M1W_MRVjHvOKNSAoNjudRvj5BzYUHcu6O7Lcfb-rRVn__ikZjfda2PBHDMYpQ1ob9DcjxTyjxybSVbK0QKtQNfLcdrYjx-t1g7YXwsKKd-OhVYinaRq4RcIzWwHknHwcSLrkkdVgejLa5xTlhw26zy44DN-Th6X13IKyaVWzLlF2WJFElhqPCVKslTqMR71W76PS1juHrsALq_PyPPA838i9Kkw7wSckdSTImw7s2qVUOiyKLYXjmygT1t5u6V5iNT9DjsgnZMzPpqYaYvQAfvhZJdcBlaixeSdQnj5JROvhCwKGlwE3gaoztp19Ko7SSycAui_bj_yyV8YsxJB4DAGY1DejdiXHtk7Sbkx_WC8VZCG2cZpu6KZR0__AQ7q5Mf51fQ&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=9dhau%2BJMbwCl7lp8W3qhyA%3D%3D&trk=flagship3_search_srp_jobs
Zensar Technologies,Advocate,"Pune, Maharashtra, India (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3829603824/?eBP=CwEAAAGN_rZuHsxJ2yeM99L8EIEf06WQCO-QKIa0KlJrSCI1nuJnR0D1cRJ56kr4yLFl5nN3ET0uA4_RfycpoMbu9KRz6ag1oCHV6K7aoUQQqjaujiwKzLc_t6M0VNnRE-rIUMPraLDGxUBdXjeVBWxG8JbIDZlmwEqZe0zGK8xv965-43NlnewdyoVvjrB5saO81n_nz5TSoEFi0S8PT6isxb8wx_QOGiO52nfO-TKhU3to7RYX1FrsZnQuPiuAENc2tLuYOjkYLNQUKR4MEmc5umBSmIgvmGt3BnMLpKG9Bvq7LKu0SZt6R2zZ_tPf6CAWzMtIeXYSgGk1FOjxZSMamXK0YGoLJlHUUDTpFYdsHIty7G9IfYaWyb5qqrlJExjsgTVoQs4K82UmFqS-Ri-XrB3h2r2q&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=JQUcFtygn9%2BsOnS1GbJq6Q%3D%3D&trk=flagship3_search_srp_jobs
Snowflake,Advocate,"Bengaluru, Karnataka, India",1 school alum works here,https://www.linkedin.com/jobs/view/3798221928/?eBP=CwEAAAGN_rZuHgYfEXzGbazd_5WMJfnL3hSGHGQmZVK5k1NCsDnsjG7MzjOwJ2hzDX3b4A0z-q5TFCROurfRgwaRmgPqjvFcuI0j3EuM6ypGnD_xK8jwM3KDWLhORdiBUBO6ENFhC7YF9yOynbLbk33LZBFSNwrecRCi3l1zQynkea7tPhXoV2bSEH62rG_3XXMKFiZpk0FyYkhqwnsfidy-dG7ZukRabgN-ph41y5AT6t6I-jq665L0-nlelfmNlrXwFM_N7tkP0Ifnj-0Tzu92pwjBZvSpUFPaoMz9maEebOZ88sRN2CzO-qw9wH--RrG74xSclCnOEysUUJ0iwUEvSqXtCyd-EhEWLTcFl1OvHtYIa3eL5cyzUbJUg52oVRmOmY5lJTnoboc29DjFREBuv7nk1OSk&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=ESJHX%2BbyUMejhncHK3EobQ%3D%3D&trk=flagship3_search_srp_jobs
OpenText,Advocate,"Hyderabad, Telangana, India (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3778500334/?eBP=CwEAAAGN_rZuHp8PcgAP9ALENnTSza5SkIGZnh0Wf5p10b6u9jBNB2G-1C2h0bmkN-Tx3pOUo1Z_AR7_cqiClkoufgbnJO5AR3meN9W86e9nK4co7xJFcdFwsplsa0uc8xuC5gIPwDhEHiBgcF-oFg4snmaium-WXKOYSFe2u6WprLUC_W5TugE80FZLtP_G29dgsqF0OxUZGHHsEviKx4L8EDRr-yuTkdsSdNYimMw6Z_VUWe2zA7EkmT6Tz1W0pEF2NF27OiZy7qVjS8lDi1Ek8l2gsMi3haXUQ5KVgqQT4SW0G1eYrt_4JTh5tYG0PRy-cDZRI6JZFevWwptSyfXRQ_3rVuKTgkVzY9eeKlwopeq3t-xUekiUQBVn4gJMDQbR4rIJAC-DOC72aFC6OpibbX2LrZzx&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=9S%2BWimbeilyciIFKluJ5Lg%3D%3D&trk=flagship3_search_srp_jobs
NTT Ltd.,Advocate,Mumbai Metropolitan Region (Hybrid),Actively recruiting,https://www.linkedin.com/jobs/view/3436440631/?eBP=CwEAAAGN_rZuHi9G6QGcAiGNZieUM2pssArUHGcV3JBIBRLJ5CBiKEDg0RSrNUJto8xQNqWA6CB4BhzW83Lt1tXHNRd8QAN-tWmjHs0_3AU6ymhKcrPQM8RBJ9X7L6tdAMp8SvsFUh2YaJHzckIawCKG6KNzWDNl6ur97m5yqB_2nMzqhmER4rGmrB6SPE-luHkVuxPfgp0ktutSpcs1E_aEyLKiEMPz0vrdgGjFHTVXXsLUX-WvbBKnZAG03AmQ63kHtWHG3ogyioldHVTFX1riBgcxh5eVT7g8R3MX3AvLYH1GFDhE-qIqoOWH0QiV599LTHv-kbcqfR1EP0NosGb5Jthq6Y84Yt0iNrEP6iQdK25KJ3zTmJs0Af_9Dk7vDFhE_3sSOD3Z2p3LQ1QyBwLbTtWlMaqn&refId=1pLXnACCmZU2m73XrhqNfQ%3D%3D&trackingId=SX5u2xvmU8wSm95b%2FqfDpg%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Java Spring Boot Developer,"Kochi, Kerala, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3829679453/?eBP=CwEAAAGN_rduuefp9aIHab4aL8FjlXMRjqtjyBPkAlz3UDho9BnIEEjLILllgLfSTAUzFSvAentUCzRj32mG7Xo_U56JilAy0tul6cuuq3K29yisAN3JImxyFlK3r0n5uAd85AZ19ZqnSbdzAT5s7fD8ZLGv53Cqh30oHL37GByDLQci4er0E5IusXZdZhoyJYOcRZTjI6B2LB5LjOl_bTS0ihFBiRzZwNociQQgqt4RHKNxgAmOhbSOPSRKkSbKG-71rP4Uhs5vr4lL8WoNy2ocExc2zlpytWXZuJwfPWFegmFapZFZ9Ggi-I5DOZzSy6uXrsRFLufhwbbOGRa7EiDsVq3o2XWQ-HGGgLuA7vNuAIkNapzN5JJlc0-AY5dTG6fJ1-Bl0443guJ8-nSU6NSfharU4Q&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=fI11WNrqtKSXBRkNFiwnJw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Java Developer,"Bengaluru, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3840160264/?eBP=CwEAAAGN_rduubbC5RFemBRuVMJAjsgFThF8p14WRIcw6tWxU66-Nl_jn46EH6oo4_7_2wV7h8anp_aIgWl85LOvNCyVKZTHd-CJ25EM6JoB1ztK9On0KYgYphQ4Q5-riRtFQLIiQMLH5P0jJ5XfUfGyYYxjp_KkMB7bD4b8dfUFshT_URZMDEP4adVMvtS9a4bh_VRgeOD1w8Xe5Swe0IF6rnCNAWnVcGZzs2FpzW4e-2BG0W_SEromSAHb2Hqym8ZvJk4nlRcDIy7BKGo41F8baPlr4JEmY4P5V-Hi8Mpe2N97a5Gid_Yq1l4XxXpX2Pn0k3A5gVLC9nZ1d20bCdT5YD-JZoermwsfv8ZNDN-anVNMrLQYg4WC&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=KCbu9UG9pu%2BBuOKk2lOBMg%3D%3D&trk=flagship3_search_srp_jobs
ValueLabs,Java Developer,"Bengaluru, Karnataka, India (On-site)",4 school alumni work here,https://www.linkedin.com/jobs/view/3827924671/?eBP=CwEAAAGN_rduuRgVoTeFkHpRhnNMHi1o8jD22Gs0xwit_xgZz8hwX5xAFS1Sic54WNlbO1-nS6PztHWcEJUb94XFXnJE2MOybq-n9X6-V_iMZR3wCPDI1ypnShVjceyj5dcTwcFdAofZqQpH3ze0YbtJZGXufu_hLTlN9RgCsEA6saG9WxefLTU_Su3_EzuiiFP796_Dj5HphpVGlklX-xhrH00lLkNcP13XJc17B7fJ_sRI-ArIzOl-X9Fwp2XQEH4c7yp8csSkICalGE4a70Ve1jsADDH9GGqOPAZ2afnqfmGWYVZGa35JWoSjrnpzCt73wGg6pwUCJwhDxsQSdkihqY7ewwVBEveoljtXLWBOgphD3d3X8Cz_zJCYoZirpcPHH6xknr207htIDjcnqNqfCM5FYCe3PX4&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=LBI2uHep2rFnLPkfOf8zyg%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Java Developer,"Chennai, Tamil Nadu, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3824751993/?eBP=CwEAAAGN_rduucjn01OXBxo8FGMSVAhBSU0Bm_DUCkh93_iDJH9kxZz9W2_o9IbPmr9cRRX8hSUpoUz7caCb_nRzg1r16mUwN27AoRoIWnvLfUQdKi44iCFpSrVtHOde4uzOSOhxDNEhpHZ5j23pgiiRTesMIykqjc3LdrroZe1PGjhHq9df3V6NjKbCcNnH6JZgXiB5lfHYNsVEujQ83tl25pym3o9jK4WLKgNKMfDHGKVLGnCq7-Bq8Om6-gRZmxVnOAlVJ4RnG2ryWU2jxLS2xVMOH4lU0NK5kS2J0JhwXYqJfoGpwoqjmZEgLHSYTPqEWwvmGrmCfu8VtsEjxhWK7fM3XRdZVuaU64Le72KoVJ3vodmn54fPrvrRfeaUDOxPWM7Yd1Pa0jx_93Y7I92EZIm_akkuUb0&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=z4BEKf1P05c%2FP5U%2FG7qDpA%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Java Developer,"Pune, Maharashtra, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3829141285/?eBP=CwEAAAGN_rduuS91lia20MSzhNKG8HjFRiHpwvoGKi_5XF02bhOwKKEQ_4TuhKpOkjL05yCQWmGaS_vP4DzV53gn6cf6TG6UqX8lX9cP8utW8TNTrV4Wr9UiE7Fqq_KiXtCHFx473cJMjjpFuTQ0QEnrrcxfyUaOjx3dI9RYosNx0EZUNmuIXGp9gpvHN70iUtZp5mqJN1SySRAVfzTf3apGevs9Kuoa5YndcW0xIy4EJjFDkcG_xyXQTnuHUEQUEIa3YGG9BEfJ8ZnwV_LqPQTqhgeGLQMdJ5vPdAWithWtflvgal_oVhxCLhUNJp5gJDAldZLaeipBO0lPmY5WZZLisdi9RLd1fpQZwnmHmRVSUli5PYZPYXq_cD7P8gi4nOCddKFLKXLxbFuRm2FVtaQ-YhX0GabdADw&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=jlUH%2Fzws%2FENjdWpwBLnnIQ%3D%3D&trk=flagship3_search_srp_jobs
LTIMindtree,Java Developer,"Chennai, Tamil Nadu, India (On-site)",1 connection works here,https://www.linkedin.com/jobs/view/3821217855/?eBP=CwEAAAGN_rduuZEEnYjiwdt_u4mQ1RLVPLZXUhnJwLOQ1Jj6N1FssmX3Deq0707bDQ-6edE8p5hT6DzWIK7eY01en8K-6ObD2TXqFPmW7DqtpXmemFTYqfQLe9nK6fLKXxDeEEEKJQiND7lI6WJxtriUZrs9LdXryug5ac2Py7U3QOB57_uOlDjHJOjCGOhUG1m8q182j2uVy44qAfKCG8ofODu5XX8VKLAwNIPHPbZAtpbbqsTcXeAybfOkq718S9ZlEN1ia0x_NoOEg2-7_6uGbtP6amLdDVFXK1zLD8E24sKo5Y2Lm6hdBluxXv-ALTR_KFAiZiG1JCqHBJuMY-MsysqTXpnx4vwOwleUlHxXQX43bMrCMUpU2EEEiIdPEJX40YDKiIakWr6PNLXBrSVMiSP1K62HaNc&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=f6fsImXZAH0JELCnJ3Tdqg%3D%3D&trk=flagship3_search_srp_jobs
GlobalLogic,Java Developer,"Noida, Uttar Pradesh, India (Hybrid)",13 school alumni work here,https://www.linkedin.com/jobs/view/3790031793/?eBP=CwEAAAGN_rduuUqQg0ezCahfAwJLTwn6TXCfFKZWl3X6wjMtP33xURwFogbz7ZEAKWyG9lyIVdgjsTtSEE2EahPQSTquhKoSakkYzSaKc_DSHkVvEbvKnu-ljjuaVoX__1Jvn1CwBWaFBe_UglGmPsBpVszIbh03vsUPeRjymdfw0I4sqN5L0Rpnl7otB3VUDbANxjaNzzCmPLNwBh8x9eKF9O-RHOaYT5Gz_v90UkF_mIHZ4mfFY4PMJ_O4ddXlqXEQc4f2K0KKC2dfX8478hucw9sHX4el2uILb5DFBPKIW4lsP5tgoX-vJgzexRQDIMpnzWMSa8hmGdt37R4ljnkVZZKrRxdTI53jJepHIdueBom59xd3nfkjZcUpjvF6mewAiEa9SmGHygAZ9-mn1V5vcHgwTpsmGKI&refId=vC1FktP9jGU%2FfUyb0p6r2Q%3D%3D&trackingId=ntBe2TuQzIHLb2hv5NAJlA%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Testing,"Bengaluru, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3818872457/?eBP=CwEAAAGN_reZyjPCs8pelAAFvTV48IQ8WWZkiVMpvQ5NIKeJHbX1jbFbVuF9BNlwf6RcsZGT4SU-dnANJFUMPqB9-0FG0AAd_AfFDOBprwEFN6a_Nm88pily6YEvWL9QT762AxDbaYo6sTPI5RJLhMOcunDfyagfwCGq6_gLpjT3iKSRDA-DtqcxN1fYLCFAI7aY5zWfMnZzIl_E5LJsGl3kdLuxoc-d4JENbWKdyCgGIeAo4DJuZY-fQtYNIBSDTLQ5VUc0sp_l-QwtdUhLcSx9r_EV_b1c97jddZNMikMJ2XO4GvFWsz_1SknnrwJSV8aBUSOjWdLfZ2by-fAAODsk7O1bxAODkdDNDkmhCpHqoH6wPN86MUWmHFlvS-tJw73Bfka7jw2h3Ckp5d87Q11XRR0&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=8v7EasE4SA1HZJsk8rIOTA%3D%3D&trk=flagship3_search_srp_jobs
Hitech Digital Solutions,Testing,"Ahmedabad, Gujarat, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3818887468/?eBP=CwEAAAGN_reZynT-Mzf5EX6hP_N7Ar6n7D59qXTAC_pVDcylBjj9HFGLBISbz30OYExHechAwlK0F0DKJotySSHltFRkuYqMUnTs-jSwg7k9zPI5YnJn89_JrsEDhhxiCPYcUph4g4l_GSbtzhCX0phQOLRykZR9ZgQRLR6rFwpB3Lh_NUh3l8GtvwXYDPB66RoQrhK1fveb98SV4l8b0oRfOyZPI-IKCYQJ_81MeC3jPM78H5ifn58qQVX9NKxER1YQyepAi5LaEO1VReVVY2NYQZBcAP6oTS2TaWib5mykzmm-0EcUGZwFzRmlz9qLCo3VJhgsZFKTvw00uYbTU0BBpFAtXrdsvq4F9nrUhPxEZoeq0YfxqvzLJr_cBCOQk6V2snR0gWpoaO5eOFis9Ad3HGbciQ&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=nyVQLGpmDUt%2BXP1rDvjihA%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Testing,"Bengaluru, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3818882216/?eBP=CwEAAAGN_reZykih368s99h1Ejp7_YvXNcF441U4RnCILNTkrKbPzASF3h8bnKzLYhGftzIDbj4kupXOf9WSw5yTiKxMDGilLND1mrWGSYhf75jjLdilEc6ArFER6Hx33cL1VLoWN8QEy3q38Fd14qdtbgypvMq1MIlwh-GykBQWVk7L5bgYsAH2LEWZMSIkGPfoLfmSkBYywb8afsshqep8sBEAi1UoUjBtVm70rb2RegF_wzoeDC1z_sQmXH3uIRvEfkk-E6ITnu8D-BmjCAoaadPxSgAV22ivBq3IHGpZ0vfA0zoQVOgdWqcyP7ZJQx1Vm0d3b70XoqK5XotDDGb-Pbj2u7elWy4HbbEgbgYZVYQlI0aoiPMuMEm2z4Axgp2E2YmENu5sfryn4zD-jcdHy2XHwqD-&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=bsIBznnaomTTDlxp%2FHo4pQ%3D%3D&trk=flagship3_search_srp_jobs
Montbleu Technologies Pvt Ltd,Testing,"Bengaluru, Karnataka, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3839939078/?eBP=CwEAAAGN_reZyqv5xwsxerXLgFJoGyEuXvJb4i6gHmwUfAl8voMYTAz58XEWj31wizfvE8FW5XY2_cJhlf6TwLYfCU-w_rWvD71fU2d7yFAgdOOPtdFkKtMTUi-vE_yJyINmR03i4IbPTNtcHhGasXHQrW9R2mGYObUSTapFpw02-kiOQ_kK7nFnijKxqL8-CBRVMZF-xE1UAs_ssqaDzQ4-2V1xZH7PfCF-dRR72J0TTs81XGwZspF_WkKWLf4gTE-9nsuLEH3c_RRxq9Gu1GGbDYE2kYJNDvlxPeMnYnIZIIENQtBZ91XwHi-FNaQzC6qhYs0aPLBUOV-Y7e7p7G7iGpSuJe86dvuYrnAnaJ8ZqWkJfHlvuDjcA1NDxmq25YVpyzb9jlQfBZDB6W0K7tLCR2ji5D0E&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=xhcz8GMu7kvZYn%2Fopd%2BMtQ%3D%3D&trk=flagship3_search_srp_jobs
Virtusa,Testing,"Andhra Pradesh, India (Hybrid)",1 school alum works here,https://www.linkedin.com/jobs/view/3823637265/?eBP=CwEAAAGN_reZylxZn4GI6UNTBFffxEK0WGZ-LSWmLeNZ3xrVpziQ6Ozh0_lKmoAbXsP4EpzP7hwBXt9tDILUBaM5QbiBpaHvePIv-xdPjoz3gapvOCCoekZ0NfsUj_uvqiU-Frk72wubxTFuOdXQDdxZC4rCw3yLpzwT3jQSlpeGfuISAqpkTLJrwY6F3AAJfD9r3eDQWK8lxkLCLPgL6EK_RYXmHb2V604c37s-6R2Gvl9JgI8UP5VA_TUUDwxZ_2o6Ch-eV9PkVmg24zJJMxGuGeopWlJZlDJ6-0KE6JUthjzvKlGoib9DOb2WG9tnH3Zc1a4E05yNxqRVY0FdrAH0PVzirUFsWQ3Av3dvpYuexStc7CUyiUQpcFVFnhD51dqThNSC7yc9GpnTTlDHEsgLNuFa0OLM&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=h0yVSRP%2FCtARhE4%2BCuYeCQ%3D%3D&trk=flagship3_search_srp_jobs
Autodesk,Testing,"Bengaluru, Karnataka, India",1 school alum works here,https://www.linkedin.com/jobs/view/3765135892/?eBP=CwEAAAGN_reZyt8OKJm5xcl16PLqUL73aPUV6YrYJLQSysEmV2KmDGfUImZ4nDIlHMcRE6OgXqvFbVUIQ5IOFmw-qTkgEUuyLrgJt7MWl1P4y3N35uHNFjOHrTsAxidcVIwFW0gYcTAbKa03pkox8O6-88fVILXnAXzLMursY3eY4TrX4IDUDDwL2kN0ptVwTPEKuETPzSHq5VuKjy4rADpFtkjwVfhzjR_CP6TR_Nkl-vq82PHFDDngIbRVX9McxIin4AkCgc4qdBT4HSmF9tY4q1Lj20_zoll9dJjA0Nrxp1ULbSxwEjTSGVB6ZvAEeVIXQw5GzMrT3atQkFyyRejmZrkB1hkfor2f6zDcPt7yKGZRLJ5WdWzzg6oc8WFkqyQssGHJsZP0d040VXK5X6coXh_ZnmuG&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=dTbhHw1o3thAesflw40i%2FQ%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Testing,"Gurugram, Haryana, India (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3817739073/?eBP=CwEAAAGN_reZyjE5a2k0Qa4siJEzlemxOQ0JKx4WDYpBTvbx5jj5qWqlxg-VirvnS0rzklv_gofsM2LGfAAMvmy2BdquCQoV3i7V4dhIC8Hk9efC3PnX5EdANaZLyqQRQdWNHNSyilHVm6c8bOdcqzzFtgzeUOdY33PT7XNIN9zuKdp0JBDovK357xdeZ_tp5qZZhReF_bDkUYcxYc1T2gIvnvI6-s0CmRx12WJoB5ZN-Dyfn4N3H4KHju0J2Zs5RO0jFsSCuq0RgFpRMfTZ-dqFun5T6niBaCB4il4MAeZPqS3KH1m-pHXG9L5PdCLvfujydN2WyY54kcw8mlwiJrKm8N3tshfYSHN8PWNhsvabaWIEOo3WmG_QvUtzTwmq61Yq2cl3j5Ar3cuxA6tavk1NXlnQeg&refId=gRit26NatZORzaMTVz7psg%3D%3D&trackingId=DkW9MMJCSqfhpBu6fttkYg%3D%3D&trk=flagship3_search_srp_jobs
Veltris,DevOps Engineer,"Bengaluru, Karnataka, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3822845404/?eBP=CwEAAAGN_re9Pcrtv5pCNniOLyMEM13sW1JPww1uQF_mU8O44ofGn85_ngvcXTQCyza9sVe18x2sKqQ9relwm6GYGyNH0FM9p_qcMWRZOqC2myXK5ARsRdYQJbjGjGQGGQBO5BvRuJhX0nXzyfZn4wgn5kWz2h1Y-V99egfFJYnihb4d-M0MNbDN5lekOW8Uwk2qV8q0hd4Au42pfsBp2XOxIkyAqLRzehUf_eZ4Ye8YvR5oFDsGQidUi2nFsf2asCBBC8kHApJvo2DgAq6jeUY3nwMjFZ_vOLBzbNTacjJEYYaiOpqheXtjnW7lq760oqayAuUs9UUWL0jZRwKHv9idcZe4NoDM0AvQmnCopj16EP0LDDcvWDItPRbBGL5CoRaOEJvLAFCONP5zKE48drJocmNYXw&refId=q2guxGIcFfj4zwvCeIouAw%3D%3D&trackingId=AFsRGhDut88YBvwmhhdzPw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,DevOps Engineer,"Hyderabad, Telangana, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3830966719/?eBP=CwEAAAGN_re9PX0iv3NWLc9QnHetY6W_KXCsjurgRA6EpvEOkR7nIdYIFxwZsouAhxeP6d1u6BP110UxR40VXgDpxFohtdtH4pfprFzJ-twwTVP2oixAWHWs8UNmt9m9N_v6JbG0gQ6rqukhtEWNvSUprQHB3VUJnOMif11M81f1ZnsMPC_qSz9079s_zC9Y9XCgoVVdg5JfDXQTXFG55PVRWeblCIMrp9W6_AGOp0M-OGxQ_fFIJoHopkOYMZXCBHp4l5odqkeV8OQpOGpyyAuDNyWBXmyPUX4uhroiCcXovl3okSKG7cZBqRMZVu76PaKQpKdT4u0GXAebViLozaikGmWbwGa4Zaio1L4idhsofvLvv6ghaasn1C8Wvt9J3DDvKr6idtRnAgtkPm_whl562c3FyWo1&refId=q2guxGIcFfj4zwvCeIouAw%3D%3D&trackingId=I6i8yS2JcEGdTw9HtjJWXA%3D%3D&trk=flagship3_search_srp_jobs
Jamaav Corporation,DevOps Engineer,India (Remote),,https://www.linkedin.com/jobs/view/3833066495/?eBP=CwEAAAGN_re9PUrRNHVq05B32u97dtIc1VY9zWBDSMR4GIbmfS_qSjy_mQbt5Fvy7btzLGhSxIyohyaUquLbM77Q-cPZjuUJNwL8YQVwwv83Qr92rB9fEJig2SMWaWgkIutpHpQRcAs7np5R61TfIYq3XnZobcWWQzux9EOEIkQs8wh1v3chn9wXgdeAyeGtEWwgaWnFIfhGyJA0E6nSlJbHhK1kfiuNt-o8vSlATvO3Y-W9ybSn4_7ohxK8E90zSTRax79e_DYdrZiGaIUF6yr3wi3D0aqVQ5QqA30A-dhGnNLEL3XL1nvjLW5DuABeMWRfgMS2ClItpkIrcvE04duaiwjim-k5iOF-ezgjLwWhK2ciyFRm3vTs6o8Fp2oG1P5yJJDwzjj-NoHZvcQkit5MTgflSOxY5T8cSQELaTiF_pvLa6IFfrCFipBA&refId=q2guxGIcFfj4zwvCeIouAw%3D%3D&trackingId=qj1%2F%2FfWT9VQy5qOTbMq2ig%3D%3D&trk=flagship3_search_srp_jobs
